longitude,latitude,Yield,crop,season
295.75,-29.75,5.224635,maize,major
296.25,-29.75,6.849252,maize,major
296.75,-29.75,6.359597,maize,major
297.25,-29.75,4.7253594,maize,major
297.75,-29.75,6.5475435,maize,major
298.25,-29.75,7.059824,maize,major
298.75,-29.75,5.5218186,maize,major
299.25,-29.75,8.765511,maize,major
299.75,-29.75,7.394028,maize,major
300.25,-29.75,7.576875,maize,major
300.75,-29.75,9.037098,maize,major
301.75,-29.75,7.901104,maize,major
303.75,-29.75,3.2499044,maize,major
304.25,-29.75,3.151917,maize,major
304.75,-29.75,3.3752027,maize,major
305.25,-29.75,3.7430964,maize,major
305.75,-29.75,4.5324345,maize,major
306.25,-29.75,4.8718805,maize,major
306.75,-29.75,5.0411158,maize,major
307.25,-29.75,4.882444,maize,major
307.75,-29.75,4.6790905,maize,major
308.25,-29.75,5.027743,maize,major
308.75,-29.75,5.671491,maize,major
309.25,-29.75,5.799783,maize,major
23.25,-29.25,1.2057033,maize,major
23.75,-29.25,2.2269433,maize,major
24.75,-29.25,2.4201102,maize,major
25.25,-29.25,1.0308623,maize,major
25.75,-29.25,1.4284923,maize,major
26.25,-29.25,1.7122943,maize,major
26.75,-29.25,2.3471715,maize,major
27.25,-29.25,3.08425,maize,major
27.75,-29.25,1.0890785,maize,major
28.25,-29.25,1.4935275,maize,major
28.75,-29.25,1.9222537,maize,major
29.25,-29.25,6.1719856,maize,major
29.75,-29.25,9.423411,maize,major
30.25,-29.25,10.364393,maize,major
30.75,-29.25,12.408808,maize,major
148.75,-29.25,2.509161,maize,major
149.25,-29.25,3.1358657,maize,major
149.75,-29.25,2.4411361,maize,major
150.25,-29.25,2.9492068,maize,major
150.75,-29.25,5.215588,maize,major
151.25,-29.25,9.771072,maize,major
151.75,-29.25,10.602248,maize,major
152.25,-29.25,14.372302,maize,major
152.75,-29.25,15.892311,maize,major
294.75,-29.25,5.1177826,maize,major
295.25,-29.25,5.739599,maize,major
296.25,-29.25,4.774744,maize,major
296.75,-29.25,7.1831574,maize,major
297.25,-29.25,7.0395823,maize,major
297.75,-29.25,6.8571973,maize,major
298.25,-29.25,5.819165,maize,major
298.75,-29.25,6.3344326,maize,major
299.25,-29.25,5.93897,maize,major
299.75,-29.25,7.7105045,maize,major
300.25,-29.25,6.952427,maize,major
300.75,-29.25,8.374294,maize,major
301.25,-29.25,7.853012,maize,major
302.25,-29.25,6.393663,maize,major
303.25,-29.25,3.1036928,maize,major
303.75,-29.25,3.063176,maize,major
304.25,-29.25,2.9248257,maize,major
304.75,-29.25,3.5983167,maize,major
305.25,-29.25,4.642742,maize,major
305.75,-29.25,4.4272695,maize,major
306.25,-29.25,4.2200055,maize,major
306.75,-29.25,5.6584535,maize,major
307.25,-29.25,6.3269815,maize,major
307.75,-29.25,6.0419827,maize,major
308.25,-29.25,6.298042,maize,major
308.75,-29.25,6.3926706,maize,major
309.25,-29.25,5.9725895,maize,major
309.75,-29.25,5.5251307,maize,major
20.75,-28.75,0.5263503,maize,major
21.25,-28.75,1.2440126,maize,major
21.75,-28.75,0.31094038,maize,major
24.75,-28.75,1.3819073,maize,major
25.25,-28.75,0.89570653,maize,major
25.75,-28.75,1.6077985,maize,major
26.25,-28.75,1.614404,maize,major
26.75,-28.75,2.2359123,maize,major
27.25,-28.75,3.3135426,maize,major
27.75,-28.75,3.7621748,maize,major
28.25,-28.75,4.8235273,maize,major
28.75,-28.75,5.978654,maize,major
29.25,-28.75,7.845616,maize,major
29.75,-28.75,8.077506,maize,major
30.25,-28.75,9.657383,maize,major
30.75,-28.75,12.601404,maize,major
31.25,-28.75,11.060154,maize,major
149.25,-28.75,6.334766,maize,major
149.75,-28.75,2.2387574,maize,major
150.25,-28.75,0.98089504,maize,major
150.75,-28.75,7.6379795,maize,major
151.25,-28.75,7.353132,maize,major
151.75,-28.75,11.48806,maize,major
152.25,-28.75,16.372852,maize,major
152.75,-28.75,14.883077,maize,major
289.25,-28.75,0.0,maize,major
293.75,-28.75,7.9743323,maize,major
294.25,-28.75,5.073546,maize,major
294.75,-28.75,7.8386955,maize,major
296.25,-28.75,3.686655,maize,major
296.75,-28.75,5.8059897,maize,major
297.25,-28.75,6.942003,maize,major
297.75,-28.75,6.366318,maize,major
298.25,-28.75,6.6204104,maize,major
298.75,-28.75,6.9501367,maize,major
299.25,-28.75,5.2799234,maize,major
299.75,-28.75,9.107857,maize,major
300.25,-28.75,7.21557,maize,major
300.75,-28.75,7.2109747,maize,major
301.25,-28.75,7.968283,maize,major
301.75,-28.75,8.153872,maize,major
302.25,-28.75,6.7297645,maize,major
303.75,-28.75,5.97549,maize,major
304.25,-28.75,4.8877277,maize,major
304.75,-28.75,3.773046,maize,major
305.25,-28.75,4.0235395,maize,major
305.75,-28.75,3.8870015,maize,major
306.25,-28.75,4.2570825,maize,major
306.75,-28.75,4.212206,maize,major
307.25,-28.75,4.676663,maize,major
307.75,-28.75,5.9672604,maize,major
308.25,-28.75,5.7944183,maize,major
308.75,-28.75,6.040013,maize,major
309.25,-28.75,4.949086,maize,major
309.75,-28.75,5.0946736,maize,major
310.25,-28.75,5.0991416,maize,major
24.25,-28.25,3.1875348,maize,major
24.75,-28.25,1.6679287,maize,major
25.25,-28.25,1.6803186,maize,major
25.75,-28.25,1.5554473,maize,major
26.25,-28.25,1.5229554,maize,major
26.75,-28.25,1.9686015,maize,major
27.25,-28.25,2.0178611,maize,major
27.75,-28.25,2.8376362,maize,major
28.25,-28.25,4.3363414,maize,major
28.75,-28.25,5.139368,maize,major
29.25,-28.25,6.6828012,maize,major
29.75,-28.25,8.251867,maize,major
30.25,-28.25,6.9962234,maize,major
30.75,-28.25,6.5907793,maize,major
31.25,-28.25,6.9526105,maize,major
